,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0,9,5,8,2,5,0,4,2,0,3,7,7,4,3,1,5,1,9,6,3,3,6,2,8,9,7,8,1,5,2,0,0,9,1,0,2,7,3,4,9,6,4,8,1,7,1,6,8,8,6,0,2,6,6,5,8,7,6,5,3,7,2,4,2,8,8,8,5,5,3,1,7,1,0,8,0,8,8,7,2,1,8,8,6,3,2,4,3,5,9,6,0,0,3,6,8,2,9,2,9
0,1,2,5,3,8,9,5,8,2,4,7,3,7,1,8,6,7,5,2,3,7,2,2,0,2,5,4,1,2,5,6,3,9,7,0,6,5,4,5,3,7,6,3,0,7,0,1,4,1,4,5,7,4,9,3,5,2,2,0,9,4,9,6,2,1,8,3,8,5,0,7,4,4,3,7,1,8,9,8,2,0,4,7,6,2,7,7,1,6,0,5,6,6,5,4,6,3,1,0,2,0
0,2,7,1,8,6,0,6,5,6,4,5,6,6,9,0,2,6,8,0,4,2,2,0,8,5,2,7,4,9,1,5,4,7,9,1,1,6,5,8,5,5,7,1,3,9,2,6,4,3,9,8,1,4,2,9,1,8,1,2,7,1,5,6,6,0,4,8,2,1,0,9,5,5,0,1,9,2,5,7,2,2,7,3,1,6,2,0,6,6,9,1,3,3,3,0,5,9,0,7,8,3
0,3,1,9,8,9,2,1,3,1,9,4,4,9,7,8,7,2,5,3,7,6,1,8,1,3,3,7,0,1,9,3,7,4,0,9,5,9,9,6,5,5,6,0,1,7,3,4,3,9,4,4,8,3,5,0,5,2,7,2,3,4,6,4,8,4,6,4,1,7,6,7,1,2,8,3,4,7,2,1,7,6,0,1,9,6,4,0,0,7,4,7,8,2,6,0,3,1,6,0,0,8
0,4,1,6,8,3,4,4,6,4,4,2,5,4,7,5,0,4,0,5,9,6,9,7,0,9,0,3,5,9,1,9,3,0,7,5,2,8,9,3,3,9,6,0,8,7,6,5,3,1,7,8,2,6,8,5,3,1,0,1,0,9,4,9,6,7,7,1,4,1,4,7,6,9,0,6,9,2,6,9,9,8,2,2,4,5,3,3,9,7,3,5,5,0,9,0,8,6,7,6,9,0
0,5,8,2,3,6,7,0,4,8,5,1,9,0,5,8,5,0,4,2,4,7,7,2,9,2,6,3,7,5,4,5,5,2,2,4,5,9,6,2,6,9,7,8,8,1,1,3,5,4,3,0,5,3,8,0,7,8,3,9,9,8,4,5,3,1,6,9,8,5,2,1,2,3,4,1,7,7,1,4,0,4,0,3,8,2,5,1,1,1,2,7,3,9,9,6,9,9,0,4,1,8
0,6,0,7,8,7,9,2,3,2,2,9,4,1,7,7,5,0,3,2,8,6,7,6,3,1,4,1,4,2,8,4,9,7,3,4,5,2,1,3,9,2,3,3,9,3,3,7,6,5,6,2,8,5,8,4,2,7,9,8,4,4,7,4,6,4,8,6,4,0,2,6,9,1,4,6,9,3,6,9,6,0,0,4,6,9,9,0,5,1,1,9,8,0,0,5,7,3,3,4,7,5
0,7,1,8,3,2,5,0,7,8,5,9,2,9,1,5,8,7,7,1,2,2,3,0,0,6,5,3,3,2,4,5,9,3,6,1,4,5,0,4,5,9,9,7,1,0,0,1,8,3,8,1,5,3,5,9,7,2,3,8,9,2,6,7,0,3,8,7,0,0,9,2,9,1,7,4,7,9,2,9,9,4,1,8,9,9,5,9,7,8,8,4,0,8,1,6,8,6,4,5,1,9
0,8,3,6,8,0,7,3,3,6,4,7,2,1,5,0,4,3,1,4,1,3,1,5,9,2,2,9,1,0,5,4,8,4,6,7,0,4,9,3,5,1,0,6,3,4,6,2,4,2,1,0,4,1,8,1,5,5,0,8,5,7,3,1,8,0,9,7,2,6,1,3,2,1,8,0,4,1,0,5,7,2,9,8,7,7,5,3,1,7,2,8,1,0,0,8,2,7,8,8,0,1
0,9,3,4,0,9,5,6,0,3,0,8,1,2,8,3,4,5,7,8,4,5,0,2,7,5,9,9,9,0,5,6,4,6,1,5,1,5,5,2,1,7,9,5,6,3,5,2,7,9,8,2,6,1,9,5,6,7,8,2,4,4,0,7,0,5,2,4,3,8,4,8,4,5,7,6,0,8,7,6,0,5,7,3,4,7,4,5,0,8,6,5,0,4,8,3,5,0,7,4,4,9
