,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0,0,0,4,6,9,0,1,7,0,0,6,2,0,3,4,7,9,1,6,1,5,5,7,6,8,2,0,3,0,4,6,5,0,9,8,9,4,2,8,3,9,3,9,4,8,9,5,0,6,7
0,1,5,3,4,8,8,6,1,4,9,0,8,8,6,6,7,9,7,1,5,8,4,5,7,5,3,0,2,0,2,2,6,8,1,3,1,8,7,5,0,3,0,0,2,2,6,6,3,7,2,0
0,2,6,0,7,6,0,0,8,7,5,1,0,4,4,3,9,2,1,3,9,1,5,2,1,3,8,3,2,6,6,7,6,3,7,1,3,6,2,0,2,1,3,7,4,4,9,7,9,1,4,0
0,3,7,1,1,4,9,0,6,0,7,8,2,0,8,4,9,0,3,0,5,3,1,5,7,7,6,2,7,0,9,0,8,5,9,3,8,0,9,8,9,2,7,5,9,3,3,5,6,3,8,5
0,4,1,7,1,3,1,8,1,7,6,2,6,6,6,2,9,4,9,7,1,9,2,8,0,6,3,3,7,9,7,7,7,3,5,9,8,9,3,9,0,8,6,5,3,5,4,6,0,4,8,2
0,5,4,9,6,3,4,6,9,0,2,3,7,7,9,8,4,1,3,9,9,3,2,1,0,6,8,6,3,9,4,5,7,7,1,0,5,1,8,6,9,3,8,0,8,6,9,1,3,1,8,4
0,6,8,4,4,9,9,8,3,1,4,3,0,3,6,9,9,4,5,3,1,7,1,0,3,0,7,6,6,5,7,7,8,8,8,1,7,5,9,5,3,6,3,9,9,8,0,7,4,9,4,7
0,7,2,9,1,1,2,2,8,7,2,3,3,0,7,1,4,7,7,9,1,4,6,9,3,7,6,5,0,3,5,4,7,4,7,8,5,6,8,6,8,2,9,8,0,6,8,4,0,3,4,0
0,8,3,8,2,1,9,7,0,8,9,0,6,2,5,7,1,5,8,9,1,4,3,6,7,1,2,8,5,7,5,7,5,1,2,1,9,4,4,3,6,8,5,3,1,6,0,6,2,8,3,5
0,9,0,9,5,3,7,1,1,3,7,5,5,5,8,3,9,0,7,9,9,4,7,1,9,0,5,9,9,0,0,4,6,7,0,9,0,4,9,1,1,2,5,5,7,8,8,0,6,3,0,0
